id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
1,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Mount Everest laut Messung von 2020 (Nepal & China)?,Der Burj Khalifa ist rund 830 Meter hoch; Everest überragt ihn um ein Vielfaches,Der Kilimandscharo Afrikas höchster Berg misst etwa 5895 Meter; Everest ist deutlich höher,8848.86,todo
2,A) Welt & Natur,Berge & Höhen,Wie viele erfolgreiche Besteigungen des Mount Everest sind bis Ende 2023 verzeichnet?,Vor dem Jahr 2000 wurden insgesamt weniger als 1.200 Everest-Gipfel erreicht,Bis 2010 waren rund 5.100 Gipfelbesteigungen registriert; moderne Rekordjahre bringen je 600–800,11.346,todo
3,A) Welt & Natur,Berge & Höhen,Wie hoch ist der höchste Berg Deutschlands nach offizieller Messung?,Außerhalb der Alpen bleiben Deutschlands Berge klar unter 2000m Höhe; der Höchste steht in Bayern,Frankreichs Mont Blanc ist etwa 4800m hoch; deutlich höher als Deutschlands höchster Gipfel,2962,todo
4,A) Welt & Natur,Berge & Höhen,Wie viele anerkannte Hauptgipfel gibt es auf der Erde - die eine bestimmte Hoehe ueberschreiten?,Alle Gipfel dieser Kategorie liegen im Himalaya und Karakorum – außerhalb Asiens gibt es keine,Es gibt weltweit über 100 Gipfel über 7200m; nur wenige erreichen die noch höhere Schwelle,14,todo
5,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Olympus Mons auf dem Mars?,Mount Everest ist 8.8 km hoch; Olympus Mons ist deutlich höher,Mauna Loa der höchste irdische Vulkan erreicht vom Meeresgrund aus etwa 9 km,22,todo
6,A) Welt & Natur,Berge & Höhen,Wie viele Stufen umfasst der Treppenlauf im Empire State Building?,Das Empire State Building hat 102 Stockwerke der Lauf endet auf der 86 Etage,Treppenlauf im Taipei 101 umfasst 2046 Stufen über 91 Etagen länger als im Empire,1576,todo
7,A) Welt & Natur,Berge & Höhen,Wie hoch ist das höchste Gebäude der Welt (Burj Khalifa) exakt?,Eiffelturm in Paris 330 Meter hoch; Burj Khalifa ist deutlich höher als dieses Wahrzeichen,Taipei 101 war mit 508 Metern Rekordhalter; Burj Khalifa ist über fünfzig Prozent höher,828,todo
8,A) Welt & Natur,Berge & Höhen,Um wie viel hebt sich der Mount Everest durch Plattentektonik pro Jahr an?,Die indische Platte driftet pro Jahr mehrere Zentimeter nach Norden; Everests Wachstum bleibt millimetergroß.,In Skandinavien hebt sich das Land regional um fast 1 Zentimeter pro Jahr.,4,todo
9,A) Welt & Natur,Berge & Höhen,Wie tief ist die tiefste bekannte Stelle des Ozeans (Witjas-Tief 1) laut Messung 2019?,Die durchschnittliche Ozeantiefe liegt bei rund vier Kilometern; Witjas-Tief 1 geht deutlich darüber hinaus,Das Titanicwrack ruht in etwa vier Kilometern Tiefe; Witjas-Tief 1 ist erheblich tiefer,10.028,todo
10,A) Welt & Natur,Berge & Höhen,Auf welcher Höhe über dem Meeresspiegel liegt der Regierungssitz La Paz (Bolivien)?,Mexiko-Stadt liegt auf etwa 2300 Metern; La Paz noch deutlich höher im Gebirge,Das Everest-Basislager liegt auf rund 5360 Metern; La Paz liegt deutlich darunter,3640,todo
