id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
1,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Mount Everest (Messung 2020) in Metern?,Der höchste Berg Europas (Elbrus) ist ca. 5.642 Meter hoch und damit deutlich kleiner.,Der K2 (Platz 2 der Welt) ist 8.611 Meter hoch.,8848.86,todo
2,A) Welt & Natur,Berge & Höhen,Wie viele erfolgreiche Besteigungen des Everest gab es bis Ende 2023?,Vor dem Jahr 2000 gab es weniger als 1.500 Gipfelerfolge.,In starken Jahren erreichen heute über 800 Menschen den Gipfel.,11996,todo
3,A) Welt & Natur,Berge & Höhen,Wie hoch ist die Zugspitze (Deutschlands höchster Berg) in Metern?,Garmisch-Partenkirchen im Tal liegt auf rund 700 Metern und damit weit unter dem Gipfel.,Der Watzmann (Platz 3 in DE) ist 2.713 Meter hoch.,2962,todo
4,A) Welt & Natur,Berge & Höhen,Wie viele eigenständige Berge über 8.000 Meter gibt es auf der Erde?,Alle diese Berge befinden sich im Himalaya oder Karakorum.,In den Alpen gibt es zum Vergleich insgesamt 82 eigenständige Viertausender.,14,todo
5,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Olympus Mons (Vulkan auf dem Mars) in Kilometern?,Der Mount Everest misst ca. 8.8 Kilometer Höhe und ist damit deutlich kleiner.,Der Mauna Kea (Vulkan auf Hawaii) ist vom Fuß gemessen 10 km hoch.,21.9,todo
6,A) Welt & Natur,Berge & Höhen,Wie viele Stufen hat der Empire State Building Run-Up (bis 86. Stock)?,Ein durchschnittliches Stockwerk hat ca. 20 Stufen - das entspräche hier nur ca. 1.700 Stufen.,Beim Treppenlauf im Taipei 101 sind es 2.046 Stufen und damit mehr als im Empire.,1576,todo
7,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Burj Khalifa in Dubai (in Metern)?,Der Eiffelturm in Paris ist ca. 330 Meter hoch und damit deutlich kleiner.,Das zweithöchste Gebäude (Merdeka 118) misst 679 Meter.,828,todo
8,A) Welt & Natur,Berge & Höhen,Um wie viele Millimeter hebt sich der Mount Everest jährlich?,Die indische Platte schiebt sich ca. 50 mm pro Jahr nach Norden - viel schneller als der Berg steigt.,Ein menschlicher Fingernagel wächst ca. 36 mm pro Jahr und damit deutlich schneller.,4,todo
9,A) Welt & Natur,Berge & Höhen,Wie viele Meter tief ist die tiefste Stelle des Ozeans (Challenger Deep)?,Die durchschnittliche Tiefe der Weltmeere beträgt 3.700 Meter.,Der Mount Everest (8.848m) würde komplett darin versinken und es wäre noch viel Platz.,10935,todo
10,A) Welt & Natur,Berge & Höhen,Auf welcher Höhe (Meter) liegt der Regierungssitz La Paz (Bolivien)?,Mexiko-Stadt liegt auf etwa 2.240 Metern Höhe und damit deutlich tiefer.,Das Basislager des Mount Everest liegt auf ca. 5.360 Metern und damit viel höher.,3640,todo
11,A) Welt & Natur,Ozeane & Wasser,Wie viele Liter Wasser fassen ein olympisches Becken?,Ein durchschnittlicher privater Pool fasst ca. 50.000 Liter und ist damit winzig dagegen.,Ein Wasserwürfel von 10m x 10m x 10m fasst 1.000.000 Liter.,2500000,todo
12,A) Welt & Natur,Ozeane & Wasser,Welcher Anteil (Prozent) der Erdoberfläche ist von Wasser bedeckt?,Etwa 3 Prozent des gesamten Wassers der Erde ist Süßwasser.,Die Kontinente (Landmasse) machen weniger als 30 Prozent der Oberfläche aus.,71,todo
13,A) Welt & Natur,Ozeane & Wasser,Wie viele Weltmeere (Ozeane) gibt es offiziell?,Früher wurden klassisch nur 3 oder 4 Ozeane gezählt.,Es gibt heute einen Ozean für jeden Kontinent; außer für die beiden Amerikas zusammen.,5,todo
14,A) Welt & Natur,Ozeane & Wasser,Welche Fläche bedeckt der Pazifische Ozean?,Die gesamte Landoberfläche der Erde beträgt 149 Mio. km² und ist damit kleiner.,Der Pazifik ist flächenmäßig größer als alle Landmassen der Erde zusammen.,165 Mio. km²,todo
15,A) Welt & Natur,Ozeane & Wasser,Wie viele Kilometer lang ist the Nil (klassisch längster Fluss der Erde)?,Die Donau ist ca. 2.850 Kilometer lang und damit deutlich kürzer.,Der Amazonas ist laut vielen Messungen ca. 6.400 Kilometer lang.,6650,todo
16,A) Welt & Natur,Ozeane & Wasser,Wie viele Meter stürzt der Angel Falls (höchster Wasserfall) in die Tiefe?,Die Niagarafälle sind nur etwa 51 Meter hoch und damit winzig dagegen.,Das Empire State Building ist ca. 380 Meter hoch und damit deutlich kleiner.,979,todo
17,A) Welt & Natur,Ozeane & Wasser,Wie hoch ist der Salzgehalt des Toten Meeres in Prozent?,Der durchschnittliche Salzgehalt der Ozeane liegt bei nur 3.5 Prozent.,Ab etwa 10 Prozent Salzgehalt kann ein Mensch im Wasser nicht mehr untergehen.,33,todo
18,A) Welt & Natur,Ozeane & Wasser,Wie viel Wasser fließt pro Sekunde durch die Amazonas-Mündung?,Der Rhein führt im Schnitt nur ca. 0.002 Millionen Liter pro Sekunde.,In nur 15 Sekunden könnte der Amazonas den gesamten Wasserbedarf der Menschheit für einen Tag decken.,209 Mio. Liter,todo
19,A) Welt & Natur,Ozeane & Wasser,Wie viele Inseln gehören offiziell zum Staatsgebiet von Indonesien?,Griechenland hat etwa 3.000 Inseln und damit deutlich weniger.,Die Philippinen (Nachbarland) bestehen aus ca. 7.600 Inseln.,17508,todo
20,A) Welt & Natur,Ozeane & Wasser,Wie viele Meter tief ist der Baikalsee (tiefster See der Erde)?,Der Bodensee ist an der tiefsten Stelle 251 Meter tief und damit viel flacher.,Das Empire State Building könnte man 4-mal übereinander darin versenken.,1642,todo
21,A) Welt & Natur,Länder & Landschaften,Wie viele Staaten sind aktuell Mitglied der Vereinten Nationen (UN)?,Die Afrikanische Union hat 55 Mitgliedstaaten.,In der FIFA sind aktuell 211 Nationalmannschaften organisiert.,193,todo
22,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche Deutschlands in die Fläche von Russland?,Russland macht grob ein Achtel der weltweiten Landfläche aus.,Die USA sind etwa 27-mal so groß wie Deutschland.,48,todo
23,A) Welt & Natur,Länder & Landschaften,Über wie viele Zeitzonen erstreckt sich das Staatsgebiet von Frankreich?,Kanada und die USA nutzen jeweils 6 verschiedene Zeitzonen.,Ohne Überseegebiete läge der Weltrekord für ein einzelnes Land bei nur 11 Zeitzonen.,12,todo
24,A) Welt & Natur,Länder & Landschaften,Wie viele Menschen leben laut Schätzung (2023) in der Vatikanstadt?,Monaco hat ca. 39.000 Einwohner auf 2 Quadratkilometern.,Die Sixtinische Kapelle fasst bei einer Messe theoretisch bis zu 2.000 Menschen.,800,todo
25,A) Welt & Natur,Länder & Landschaften,Wie viele direkte Nachbarländer hat die Volksrepublik China?,Deutschland hat insgesamt 9 direkte Nachbarländer.,Brasilien hat insgesamt 10 direkte Nachbarländer.,14,todo
26,A) Welt & Natur,Länder & Landschaften,Welcher Anteil (Prozent) der Weltbevölkerung lebte 2023 in Asien?,In Afrika (Platz 2) leben etwa 18 Prozent der Weltbevölkerung.,China und Indien alleine machen bereits ca. 35 Prozent der Weltbevölkerung aus.,59,todo
27,A) Welt & Natur,Länder & Landschaften,Wie viele antike Pyramiden wurden im Sudan bisher entdeckt?,Im Sudan stehen mehr Pyramiden als im Nachbarland Ägypten.,In Ägypten sind insgesamt etwa 140 Pyramiden bekannt.,255,todo
28,A) Welt & Natur,Länder & Landschaften,Wie viele Kilometer lang ist die gemeinsame Grenze zwischen den USA und Kanada?,Die Grenze zwischen China und Russland ist ca. 4.200 km lang.,Die Grenze zwischen den USA und Mexiko ist ca. 3.145 km lang.,8891,todo
