id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
1,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Mount Everest laut Messung von 2020 (Nepal & China)?,Er gilt als der höchste Berg der Erde über dem Meeresspiegel; Höhe in Metern,Die Höhe liegt knapp unter 9000 Metern,8848.86,todo
2,A) Welt & Natur,Berge & Höhen,Wie viele erfolgreiche Besteigungen des Mount Everest sind bis Ende 2023 verzeichnet?,Die Erstbesteigung war 1953; die Zahl ist vierstellig,Die Zahl liegt zwischen 10.000 und 15.000,11.346,todo
3,A) Welt & Natur,Berge & Höhen,Wie hoch ist der höchste Berg Deutschlands nach offizieller Messung?,Der Berg befindet sich in den Alpen; es handelt sich um die Zugspitze.,Die Höhe liegt zwischen 2000 und 3000; Einheit: Meter,2962,todo
4,A) Welt & Natur,Berge & Höhen,Wie viele anerkannte Hauptgipfel gibt es auf der Erde - die eine bestimmte Hoehe ueberschreiten?,Alle befinden sich in Asien; insbesondere im Himalaya und Karakorum,Die Zahl ist zweistellig und kleiner als 20,14,todo
5,A) Welt & Natur,Berge & Höhen,Wie hoch ist der Olympus Mons auf dem Mars?,Er ist der höchste bekannte Vulkan im Sonnensystem; seine Höhe ist zweistellig.,Er ist höher als der Mount Everest; seine Höhe liegt zwischen 20 und 30 Kilometern.,22,todo
6,A) Welt & Natur,Berge & Höhen,Wie viele Stufen umfasst der Treppenlauf im Empire State Building?,Es handelt sich um einen Lauf bis zum 86. Stockwerk,Die Anzahl der Stufen ist vierstellig; zwischen 1000 und 2000,1576,todo
7,A) Welt & Natur,Berge & Höhen,Wie hoch ist das höchste Gebäude der Welt (Burj Khalifa) exakt?,Es steht in Dubai; die Höhe ist dreistellig,Die Höhe liegt zwischen 800 und 900 Metern; Einheit: Meter,828,todo
8,A) Welt & Natur,Berge & Höhen,Um wie viel hebt sich der Mount Everest durch Plattentektonik pro Jahr an?,Die indische Platte drückt weiterhin gegen die eurasische; die Einheit ist Millimeter,Die jährliche Hebung ist einstellig,4,todo
9,A) Welt & Natur,Berge & Höhen,Wie tief ist die tiefste bekannte Stelle des Ozeans (Witjas-Tief 1) laut Messung 2019?,Sie liegt im Marianengraben; die Tiefe ist vierstellig,Die Tiefe liegt zwischen 9.000 und 11.000 Metern,10.028,todo
10,A) Welt & Natur,Berge & Höhen,Auf welcher Höhe über dem Meeresspiegel liegt der Regierungssitz La Paz (Bolivien)?,Es ist der höchstgelegene Regierungssitz der Welt.,Die Höhe liegt zwischen 3000 und 4000 Metern.,3640,todo
11,A) Welt & Natur,Flüsse Seen & Meere,Wie lang ist der längste Fluss der Welt laut Guinness Buch?,Manche Forscher halten den Amazonas für länger; die Länge ist vierstellig,Die Länge liegt zwischen 6.000 und 7.000; Einheit: Kilometer,6.650,todo
12,A) Welt & Natur,Flüsse Seen & Meere,Wie viel Prozent der Erdoberfläche sind mit Wasser bedeckt?,Es ist deutlich mehr als die Hälfte; Kategorie: Geographie,Zwischen 60 und 80 Prozent,71,todo
13,A) Welt & Natur,Flüsse Seen & Meere,Wie viel Wasser passt in ein olympisches Schwimmbecken bei theoretischer Füllung bis zum Rand?,Ein olympisches Becken ist 50 Meter lang; 25 Meter breit und 2 Meter tief,Das Volumen liegt im siebenstelligen Bereich; Einheit: Liter,2500000,todo
14,A) Welt & Natur,Flüsse Seen & Meere,Wie tief ist der Bodensee an seiner tiefsten gemessenen Stelle?,Der Bodensee liegt im Alpenvorland; die Tiefe ist dreistellig.,Die Tiefe liegt zwischen 200 und 300 Metern; Einheit: Meter.,251,todo
15,A) Welt & Natur,Flüsse Seen & Meere,Wie viele Brücken verbinden die Inseln im historischen Zentrum von Venedig?,Venedig besteht aus über 100 Inseln; die Anzahl der Brücken ist dreistellig,Die Anzahl der Brücken liegt zwischen 300 und 500,400,todo
